question,answer
회원 탈퇴는 어떻게 하나요?,"회원 탈퇴는 사용 중인 서비스 해지 및 요금 완납 후 가능합니다.1. 사용중인 서비스 전부 해지 (기존 학습 및 서빙 instance 모두 삭제 및 중단 필요)2. 학습/서빙 대기 중인 추가 신청 목록 삭제3. 미납된 요금 완납4. 회원탈퇴 신청*신청 후, 담당부서 승인 후 탈퇴 처리가 진행됩니다.[회원탈퇴]내 정보 관리 - 회원탈퇴"
회원 가입된 아이디(ID)가 기억나지 않습니다.,홈페이지를 통하여 아이디를 찾을 수 있습니다.
홈페이지의 비밀번호를 분실하였습니다.,홈페이지를 통하여 비밀번호를 찾을 수 있습니다.
홈페이지 가입된 아이디(이메일)를 변경할 수 있나요?,"가입 이후 ID 변경은 1:1 문의하기를 통하여 연락처와 요청 사항을 남기시거나,이메일을 통해 요청 주시면 변경 가능합니다."
상품 가입 이후 명의 변경은 어떻게 하나요?,"가입 이후 명의 변경은 1:1 문의하기를 통하여 연락처와 요청사항을 남기시거나, 이메일을 통해 요청 주시면 변경 가능합니다."
서비스 신청은 어떻게 해야 하나요?,"Mi:dm Enterprise, Mi:dm Foundation 상품에 대한 각 컨설팅 문의 기능을 통해 가입 신청/상품 문의가 모두 가능합니다.신청을 주시면, 각 담당부서에서 간단한 심사 이후 순차적으로 연락 후 가입을 도와드릴 예정입니다."
서비스 개선사항을 요청하고 싶을 때 어떻게 해야 하나요?,홈페이지 > '고객지원' >.'1:1 문의'에 관련 사항을 요청해 주시면 됩니다.
협의계약 할인율 및 절차 안내,"◦ '협의계약'이란?KT에 상담을 받은 후, 사전에 협의된 계약 기간과 계약금(한달 사용 요금으로 예상되는 규모)을 약속하는 대신,정규 요금보다 할인된 가격을 제공받는 방식으로, 자세한 사항은 아래 채널로 연락 부탁드립니다.contact.midm@kt.com"
무료 체험 기간은 없나요?,먼저 믿음의 사용 배경 및 법인 정보를 기재하시어 컨설팅 문의로 신청을 부탁드립니다.
요금 납부 및 결제 방법에 대해 알려주세요.,"[결제 수단 등록 방법 안내]1. 결제 수단은 상품 신청 약관에 따라 신용카드, 계좌이체, 지로 납부 등록이 가능하며, 상품 결제 정보 결제 관리 메뉴에서 변경 가능합니다.2. 23시 ~ 09시 사이에는 금융사 정책으로 계좌이체 혹은 체크카드 등록이 제한될 수 있습니다.3. 중간 납부 정산 기능을 제공하지 않습니다.4. 법령에 따라 (법인/개인) 사업자 회원에 대하여 세금계산서 발급 의무가 있으며, 세금계산서를 발급하지 않거나 발급을 취소할 수 없습니다. (조세범 처벌법, 부가가치세법 등)※ 더 자세한 문의 사항은 contact.midm@kt.com 으로 남겨주시거나, 상품 이용 약관을 참조해주세요."
사용요금 조회는 어디서 할 수 있나요?,"사용요금 조회는 '마이페이지' > '청구내역'에서 조회 가능합니다.사용 월별로 선택하시어 조회 가능하며, 사용 요금은 전월 청구된 사용 요금까지 조회 가능합니다."
세금 계산서는 어떻게 발급받나요?,세금 계산서는 국세청 이세로 사이트를 통해 확인이 가능합니다.
"납부 정보(결제, 주소, 청구서 수신)를 변경하고자 합니다.","납부 정보(결제방법, 주소지, 청구서 수령 방법) 변경은 고객센터 또는 '마이페이지' > '결제정보'를 통하여 변경할 수 있습니다."
청구 명세서를 분실하였습니다. 재발급이 가능한가요?,"명세서를 분실하였을 경우, 고객센터로 문의하여 주시면 재발송 및 부가세 신고용 명세서 발행이 가능합니다."
포탈 홈페이지에 회원가입 후 로그인이 되지 않습니다.,최초 회원 가입 후 이메일 인증을 완료하셔야 로그인이 가능합니다.
회원가입 시 등록한 휴대전화번호로 인증번호가 수신되지 않습니다.,문자 수신이 되지 않을 경우 해당 번호나 단말기 상의 스팸 설정을 확인하여 주시기 바랍니다.
요금 납부 및 결제 방법에 대해 알려주세요.,"[결제 수단 등록 방법 안내]1. 결제 수단은 상품 신청 약관에 따라 신용카드, 계좌이체, 지로 납부 등록이 가능하며, 상품 결제 정보 결제 관리 메뉴에서 변경 가능합니다.2. 23시 ~ 09시 사이에는 금융사 정책으로 계좌이체 혹은 체크카드 등록이 제한될 수 있습니다.3. 중간 납부 정산 기능을 제공하지 않습니다.4. 법령에 따라 (법인/개인) 사업자 회원에 대하여 세금계산서 발급 의무가 있으며, 세금계산서를 발급하지 않거나 발급을 취소할 수 없습니다. (조세범 처벌법, 부가가치세법 등)※ 더 자세한 문의 사항은 contact.midm@kt.com 으로 남겨주시거나, 상품 이용 약관을 참조해주세요."
서비스 신청은 어떻게 해야 하나요?,"Mi:dm Enterprise, Mi:dm Foundation 상품에 대한 각 컨설팅 문의 기능을 통해 가입 신청/상품 문의가 모두 가능합니다.신청을 주시면, 각 담당부서에서 간단한 심사 이후 순차적으로 연락 후 가입을 도와드릴 예정입니다."
"납부 정보(결제, 주소, 청구서 수신)를 변경하고자 합니다.","납부 정보(결제방법, 주소지, 청구서 수령 방법) 변경은 고객센터 또는 '마이페이지' > '결제정보'를 통하여 변경할 수 있습니다."
포탈 홈페이지에 회원가입 후 로그인이 되지 않습니다.,최초 회원 가입 후 이메일 인증을 완료하셔야 로그인이 가능합니다.
홈페이지의 비밀번호를 분실하였습니다.,홈페이지를 통하여 비밀번호를 찾을 수 있습니다.
회원가입 시 등록한 휴대전화번호로 인증번호가 수신되지 않습니다.,문자 수신이 되지 않을 경우 해당 번호나 단말기 상의 스팸 설정을 확인하여 주시기 바랍니다.
홈페이지 가입된 아이디(이메일)를 변경할 수 있나요?,"가입 이후 ID 변경은 1:1 문의하기를 통하여 연락처와 요청 사항을 남기시거나,이메일을 통해 요청 주시면 변경 가능합니다."
협의계약 할인율 및 절차 안내,"◦ '협의계약'이란?KT에 상담을 받은 후, 사전에 협의된 계약 기간과 계약금(한달 사용 요금으로 예상되는 규모)을 약속하는 대신,정규 요금보다 할인된 가격을 제공받는 방식으로, 자세한 사항은 아래 채널로 연락 부탁드립니다.contact.midm@kt.com"
무료 체험 기간은 없나요?,먼저 믿음의 사용 배경 및 법인 정보를 기재하시어 컨설팅 문의로 신청을 부탁드립니다.
상품 가입 이후 명의 변경은 어떻게 하나요?,"가입 이후 명의 변경은 1:1 문의하기를 통하여 연락처와 요청사항을 남기시거나, 이메일을 통해 요청 주시면 변경 가능합니다."
얼마를 지불해야 합니까?,공식  Apple Mac App Store 에서 앱을 다운로드하여 모든 기능을 갖춘 무료 평가판을 24시간 동안 사용할 수 있습니다. 신용카드가 필요하지 않습니다. 설치만 하면 바로 자세 교정이 시작됩니다! 처음 24시간 후에도 앱을 계속 즐기려면 두 가지 구독 옵션이 있습니다. 월 $9.99의 월간 요금제를 선택하거나 가족 공유 혜택이 포함되어 2개월 동안 제공되는 연간 $99.99의 연간 요금제를 선택하세요. 무료. 우리는 또한 팀 할인 과 학계 할인을 제공합니다. 견적이 필요하시면 언제든지 문의해 주세요 .
Apple Mac App Store에서 PostureNet을 다운로드하는 것과 Gumroad를 다운로드하는 것의 차이점은 무엇입니까?,Apple Mac App Store의 PostureNet: 구독 기반: PostureNet에 대한 액세스는 월간 또는 연간 구독을 통해 이루어집니다. 가격: 월 $9.99 또는 연간 $99.99. 지속적인 업데이트: 구독자는 V2 이후의 주요 릴리스를 포함하여 지속적인 업데이트를 모두 받습니다. Gumroad의 PostureNet: 일회성 결제: 한 번의 결제로 PostureNet V2에 평생 액세스할 수 있습니다. 가격: 평생 라이센스의 경우 $90. 업데이트 제한: 이 구매에는 V2 시리즈 내의 업데이트만 포함됩니다. PostureNet V3가 게시되면 업데이트가 포함되지 않습니다. Q: Gumroad를 통해 구매하면 PostureNet V2 업데이트를 받을 수 있나요? 답: 그렇습니다. Gumroad를 통해 PostureNet V2를 구매하면 V2 시리즈의 모든 업데이트가 포함됩니다. 그러나 PostureNet V3 이상에 대한 업데이트는 포함되지 않습니다. Q: Gumroad에서 구매하면 나중에 PostureNet V3으로 업그레이드할 수 있나요? A: 옵션 업그레이드. Gumroad 구매는 V2 전용이지만 향후 V3 업그레이드 옵션을 제공할 수도 있습니다. 자세한 내용은 V3가 출시되면 알려드리겠습니다. Q: Apple Mac App Store를 통해 구독하면 어떤 이점이 있나요? A: 지속적인 액세스 및 업데이트. Apple Mac App Store를 통한 구독자는 구독이 활성화되어 있는 동안 V2 이후의 주요 릴리스를 포함하여 최신 버전의 PostureNet에 지속적으로 액세스할 수 있는 이점이 있습니다. Q: 나에게 가장 적합한 옵션은 무엇입니까? A: 필요에 따른 선택. 일회성 구매를 선호하고 주로 PostureNet V2가 필요한 경우 Gumroad가 최선의 선택입니다. 지속적인 업데이트와 향후 버전에 대한 액세스를 원한다면 Apple Mac App Store의 구독 모델이 더 적합할 것입니다.
PostureNet이 어떻게 작동하는지 (기술적으로) 설명해 주실 수 있나요?,좋은 질문입니다. 약간의 설명이 필요합니다. 높은 수준에서 PostureNet은 최신 컴퓨터 비전과 AI 기술을 기반으로 한 심층 신경망입니다.
"시스템 요구 사항은 무엇입니까?""","Posture Net을 사용하려면 다음이 필요합니다. 1. 전면 카메라가 있는 노트북, 컴퓨터 혹은 외부 카메라"
알림 빈도를 어떻게 선택합니까?,나쁜 자세가 감지될 때 경고 메시지를 받는 빈도를 설정할 수 있습니다. PostureNet => 기본 설정에서 시간 간격을 선택한 다음 앱을 다시 시작하세요.
외부 모니터에서도 작동하나요?,"예, 귀하의 요청에 따라 외부 카메라 스위치를 추가했습니다! 설정을 열고 좋아하는 카메라를 선택할 수 있습니다. 그 후에는 새 카메라로 전환하려면 앱을 다시 시작해야 합니다."
언제 자세 데이터를 재설정해야 합니까?,Posture Net은 컴퓨터 카메라가 안정적인 환경에 있을 때 가장 잘 작동합니다. 자세 데이터를 재보정해야 하는 몇 가지 경우가 있습니다. 1. 다른 카메라로 전환한 후. 2. 다른 환경으로 전환(예: 사무실에서 집으로 이동하거나 앉았다가 서 있는 경우) 앱은 여전히 ​​이전 설정에 있다고 생각하여 이전만큼 성능을 ​​발휘하지 못할 수 있습니다. 새로운 환경으로 전환하거나 감지가 부정확하다는 것을 알게 되면 대부분 포스처 데이터가 처음 구성했을 때와 달라졌기 때문입니다. 자세 데이터를 재설정하는 데는 1분밖에 걸리지 않으며 알림이 정확한지 확인할 수 있습니다.
왜 PostureNet에 내 자세를 보여줘야 합니까?,"좋은 질문입니다. 우선, 자세 데이터 중 어느 것도 기계 외부로 유출되지 않습니다. 우리는 귀하의 자세 데이터를 수집하거나 누구와도 공유하지 않습니다. 하지만 자세가 나쁠 때 알림을 보내려면 앱이 사용자의 고유한 자세를 이해해야 합니다. 당신은 좋은 자세와 나쁜 자세를 구별하는 방법을 Mac에 가르치고 있습니다."
iPhone에서 사용할 수 있나요?,일종의 iPhone 앱은 아니지만 iPhone의 카메라를 사용하여  Mac의 연속성 카메라 모드를 사용하여 자세를 모니터링할 수 있습니다. 최신 macOS 14(Sonoma) 및 iOS 17만 사용하면 됩니다.
앱이 시작되지 않습니다/내 모습이 보이지 않습니다. 어떻게 해야 합니까?,이 문제는 일반적으로 카메라 액세스가 승인되지 않은 경우 발생합니다. 이 문제를 해결하려면 설정 으로 이동하여 애플리케이션이 카메라에 액세스할 수 있도록 허용하는 옵션을 찾은 다음 PostureNet을 활성화하세요. 이렇게 하면 문제가 해결됩니다!
컴퓨터가 시작될 때 PostureNet이 자동으로 시작되도록 어떻게 설정합니까?,컴퓨터가 부팅될 때 PostureNet이 자동으로 시작되도록 하려면 다음의 간단한 단계를 따르십시오. PostureNet 열기: Mac에서 PostureNet 앱을 실행합니다. 액세스 설정: 앱 내에서 설정 또는 기본 설정 메뉴를 클릭하세요. 로그인 시 시작 활성화: 로그인 시 시작 옵션을 찾아 활성화합니다. 이 설정은 일반적으로 확인란 또는 토글 스위치입니다. 선택 사항 확인: 필요한 경우 변경 사항이 저장되었는지 확인하세요. 이 옵션을 활성화하면 컴퓨터를 시작하거나 다시 시작할 때마다 PostureNet이 백그라운드에서 자동으로 실행되어 하루를 시작하는 순간부터 지속적인 자세 모니터링을 보장합니다. 문제가 발생하거나 추가 지원이 필요한 경우 지원 리소스를 참조하거나 헬프 데스크에 문의하세요.
